urlkey,timestamp,original,mimetype,statuscode,digest,mp3_version,album,artist,composer,genre,releaseDate,file_size,audio_encoding,file_format,file_extension,duration,format_settings,bit_rate_mode,bit_rate,channel_s,sampling_rate,bit_depth,writing_library,sha256,sha512
audioarchives.oc.usda.gov/audio/newsline/mp3/oc-s-1623s-02-w_586b5f8f4a27474194c5ebf68d1163b7.mp3,20090910122217,http://audioarchives.oc.usda.gov/audio/newsline/mp3/OC-S-1623S-02-W_586B5F8F4A27474194C5EBF68D1163B7.MP3,audio/mpeg,200,BTI3V6PXDLA4ITKBYQEGUFBHDGAZ5ZGJ,MPEG 3 Layer III Version 1,-,-,-,-,-,960887,MPEG Audio,MPEG Audio,mp3,60055,-,CBR,128000,1,44100,-,-,7cd4c3ba9d97628885132fd0f432cb70a155f14a69e312b03e93ac980318bb9d,af687ee54f5d22a6456db0c0cc199ba440649e9de1e17f05172494cfe03ca81bc932aacfae155c9144458338aaab1dfc7cf1c4c9a5c51b3f50d4174b1d0213f3
ca3.uscourts.gov/oralargument/audio/09-2022chengvattygenusa.wma,20150210172644,http://www2.ca3.uscourts.gov/oralargument/audio/09-2022ChengvAttyGenUSA.wma,audio/x-ms-wma,200,7FFRYAYSFZKQ5ADUQQWPVZMJZGGXX5QX,-,-,-,-,-,-,41523755,WMA,Windows Media,wma,2065647,-,CBR,160016,2,44100,16,-,db6721f81784181d4327ba1ad518cf40bc57d9abdbc1d396fea8a6e80a339920,69a03b64d6d01060f70580b4c35bdb24315b60cc3a98ae7c40deab1e6c81fe46b88525a6223ba4f0c96e4a3bfbad2e9665a48b4e9e1cfccfebd9c224c4646b49
com-notes.house.gov/media/05252000oi.ram,20021212174119,http://com-notes.house.gov:80/media/05252000oi.ram,audio/x-pn-realaudio,200,WIFB2CP73K7P2ECETPLFCXMPWZN3RPMA,-,-,-,-,-,-,57,-,-,ram,-,-,-,-,-,-,-,-,a2c5527bb18de552a5db038c8d326ce817123f59be2ca8f5b9dfbf4f52d4dbd0,2123f6b885eab5a0507c23e089e1a6d7e40857eae7312b3a7436e3a808d4d336c177f6cc6f4da85779e4aa40675f0654643967817565ffab2409edc8c09f49b1
demradio.senate.gov/actualities/lautenberg/lautenberg081120.mp3,20081127042306,http://demradio.senate.gov/actualities/lautenberg/lautenberg081120.mp3,audio/mpeg,200,6AERV244VMQPDHERRTVFBQSFBME53F7V,MPEG 3 Layer III Version 1,U.S. Senate Democratic Communication Center Radio Broadcast System,Lautenberg,Lautenberg,-,2008,1832488,MPEG Audio,MPEG Audio,mp3,114507,-,CBR,128000,1,44100,-,LAME3.93,8d104861bc69050b282eb81bf9eba1d87556f570c05474a4775919edf3efc720,5e5bfec646d62f853f41208d5f2d9421cff846f30ab81c63e5b65962e518f1a057e6f623b5e0fe7e08a647b2daaebd00abde7481876fe08a4eee240915eb4a0d
demradio.senate.gov/actualities/lincoln/lincoln_medicare_psa_nov2007.mp3,20110710201254,http://demradio.senate.gov/actualities/lincoln/lincoln_medicare_psa_nov2007.mp3,audio/mpeg,200,6ZY56SFLWIH5JUITS3FDKBXUTCUDMLI2,MPEG 3 Layer III Version 1,-,-,-,-,-,485627,MPEG Audio,MPEG Audio,mp3,30223,-,CBR,128000,1,44100,-,-,030c0f7fd5d7f6cbdae22109b3338f947fa537cc69dd317687f8e533c47ebc9c,312292051d399d76d707e5392cf2e92ca350414e4b112d35ccf57ebeef1b069528b61bdeffb2d85079efbfb529b8752034aff10865483618a8afb82c9a3c49f1
dir.ca.gov/chswc/wcintro56.ram,20000829144623,http://www.dir.ca.gov:80/CHSWC/wcintro56.ram,audio/x-pn-realaudio,200,IWCQTVCDVBUFXEW6RGXZXZFAZE66VOTR,-,-,-,-,-,-,42,-,-,ram,-,-,-,-,-,-,-,-,da73a176bcef65aeb4b3403580b7839ca512d23395fa8b66395de1bd3fa32d89,436a8a85c95d6be4d8ba892952049f96e1a2c0bd80efbe6969cdf40727619ec8733635ebc5e7917904a8a15b3def11e1255c4772a1756d4da1afe6cf5684c3b0
epw.senate.gov/epwmultimedia/epw121405.ram,20100203084933,http://epw.senate.gov/epwmultimedia/epw121405.ram,audio/x-pn-realaudio,200,GGVDLOWDUBZS3L5VXZWHYJEXROEH5UUT,-,-,-,-,-,-,49,-,-,ram,-,-,-,-,-,-,-,-,d72930d904598ffeda6c4a6ceb0817a6e7daeab83081bdfbd7cef310451b9dc7,18f0cb3798fdca4c8bf940114ed9f7caa85d1bd08d592b9d3832e7018e750bc80e545f0b07e9c6ac4280d459b19f3dac6306879bd0ca196f4353d7148a774f16
erh.noaa.gov/cle/mp3/clenshnw8.mp3,20151109155133,http://www.erh.noaa.gov/cle/mp3/CLENSHNW8.mp3,audio/mpeg,200,OR6JLKLVVFUF5XN2JCWBNKMO574HTX7A,MPEG 3 Layer III Version 2,-,-,-,-,-,65536,MPEG Audio,MPEG Audio,mp3,21816,-,CBR,24000,1,16000,-,-,ac7f8bac33876f52e70be09657815d45eca8d07306b17ae8be1afeb36fdd9c96,f0827fb8236676b4e6c1a92f08036bc3b517911c34e8d86cef58f5f2f96259adec0643e5f8c751972cb21b1806a1ddb2bdb6dfdc87f3b64e2b9c45f43dd39689
fdlco.wi.gov/lanapcaptcha.aspx?get=sound&c=_index__ctl0_captcha&t=a635efd328a84d88982c2ab2dcfb8224&s=odw2zr55guu2twjelj03txbw,20091107190458,http://www.fdlco.wi.gov/LanapCaptcha.aspx?get=sound&c=_index__ctl0_captcha&t=a635efd328a84d88982c2ab2dcfb8224&s=odw2zr55guu2twjelj03txbw,audio/x-wav,200,7NJPLQKUPWRT46HEM67UVBHAUOZF47GJ,-,-,-,-,-,-,82232,PCM,Wave,wav,5136,Little / Signed,CBR,128000,1,8000,16,-,25741f60e3bd3896e5806f27597c97f8017d7548575a9ea89248a8793b3acacc,6bb6818e570a0f0c9e37defe33cf015cf60f16ff2fdb670bf2ee94a66dccb2a93984eee82dc264bbd608f9f4557aad1ec7a9a711edc292cb2d6c2bc2cae8ab6f
fdlco.wi.gov/lanapcaptcha.aspx?get=sound&c=_index__ctl0_captcha&t=b54111a78f534fa2a018fca956a4c849&s=lqctng45yavq1o55l13l5ni0,20091129073934,http://www.fdlco.wi.gov/LanapCaptcha.aspx?get=sound&c=_index__ctl0_captcha&t=b54111a78f534fa2a018fca956a4c849&s=lqctng45yavq1o55l13l5ni0,audio/x-wav,200,B7EOKKM2ZE6MF3K3OE5IJ6E7G44HJYSI,-,-,-,-,-,-,78074,PCM,Wave,wav,4876,Little / Signed,CBR,128000,1,8000,16,-,3d7c04bed75ed3b7f1bafd75c6be03c4c22c946ea0814791f57f8a3e5168b066,3f32f9cb06ebdb2a03016204fee878326619da4054a7da1d60ad4ebc70707792fe9a1b865311fb1a4d5f4078b1d5d82540ff361d3edc061ca21494c14fc89544
fdlco.wi.gov/lanapcaptcha.aspx?get=sound&c=_index__ctl0_captcha&t=cff87c13e26f4ccaa536b8cf888dacb0&s=1rmz1b45mlfegl451bzbzr45,20100717162410,http://www.fdlco.wi.gov/LanapCaptcha.aspx?get=sound&c=_index__ctl0_captcha&t=cff87c13e26f4ccaa536b8cf888dacb0&s=1rmz1b45mlfegl451bzbzr45,audio/x-wav,200,RWTYRVBFNMJ73433Q3RZ65KA5O2E6KAQ,-,-,-,-,-,-,82606,PCM,Wave,wav,5160,Little / Signed,CBR,128000,1,8000,16,-,ad05c83404f0b8a6a4550b3453a56cd45dce1b6b9697974a28fea91449a4f0bd,7a979b415d6c3df6f7fd68862da2c72f078871c907836e804cf531055b9ad9ef38444970fff533b3374fde8130cfaa01d6de71a3400574a479bf23672a9b421d
fpga.gsfc.nasa.gov/ftp/terry/modisrc/vhdl/sim/vsim.wav,19980419093656,http://fpga.gsfc.nasa.gov:80/ftp/terry/ModisRC/vhdl/sim/vsim.wav,audio/wav,200,QGYLHB6TMWWIHT6QPXBE7YZ6PLRF3U33,-,-,-,-,-,-,282068,-,-,wav,-,-,-,-,-,-,-,-,7f0a62db7eecf90782cfd62190ab13597b2044a11f2dce0a2d3de7c05d330caa,5cf127e5cecd86c44b4307beb8a803f6c12f4bbb79764433cc71a3fc5fbda2df4ea54bb5f91c11c493058bf39f5d58baba32b657f601eb8ec8b92740905f6261
hagan.senate.gov/files/hagan-teletownhall-071410.mp3,20110805125110,http://hagan.senate.gov/files/hagan-teletownhall-071410.mp3,audio/mpeg,200,DA2MNN4NBTMWTBLHSJH7CKMBN4AIVAYN,MPEG 3 Layer III Version 1,-,-,-,-,-,57248262,MPEG Audio,MPEG Audio,mp3,3578016,-,CBR,128000,1,44100,-,-,a33e90cb1b63c6527b1149750d62fdbea755d9668f3fe5b707c9d1e8e334ee71,c5543d95a356fe3153891c4930a9e85b84fc0505a86a5a14533468e7b82591fa191af141bba3b6b7a06c523672148b171236a1c4fa7017ed6b862c0da390877f
legtalk.mt.gov/ramgen/archives/minutes/2007/house/tah/070413tah.rm,20090412160317,http://legtalk.mt.gov/ramgen/Archives/Minutes/2007/House/TAH/070413TAH.rm,audio/x-pn-realaudio,200,XWRSHF3VN765G47TSUYIT7RQ7U6HJH4U,-,-,-,-,-,-,85,-,-,rm,-,-,-,-,-,-,-,-,a9b3c6a7c7694b4c6c97f8dfddf38d0869ed9cf9f0143600e5d673773cb4d075,2b3f64991423cf47d1edd873c69aa1d6e2b3573e0610235598f38a8eac0242f219271dd3cb74bb67e94b151b0f7a75a784e31d8e3a56449d6e068158d49f6c75
loc.gov/locvideo/mead/pan1kurin.ram,20060305054402,http://www.loc.gov/locvideo/mead/pan1kurin.ram,audio/x-pn-realaudio,200,UYEJXZAP6KLAXQE4YAZKR6OMWL6RIUKM,-,-,-,-,-,-,51,-,-,ram,-,-,-,-,-,-,-,-,1cc94797746b52bf14dc942b2b66b795dd662e5a050bc54f6c18f030c451aecc,21d49bc226a8c2bd974fb04fad767817f3a2e6c522f6e403555570303c4711e75c19d4b5d585e085df99e5bbe9c241b8763a58f66279f35dc8eef312a5195b19
media.sd.gov/ramgen/lightning/htdocs/ful/media-images/sdfr3934_3363.rm,20110717184929,http://media.sd.gov/ramgen/lightning/htdocs/ful/media-images/sdfr3934_3363.rm,audio/x-pn-realaudio,200,E63IOEY5E7WVZH7K7DBY6BXUWAVEMWU3,-,-,-,-,-,-,99,-,-,rm,-,-,-,-,-,-,-,-,f6339cb933557d6f010deef6c76f9925d5cb10aefa8c0a55775784c312ec117e,65bd1e6bfe3b7b5394512078d07b3c86da7125ecb91d54056f14aa3d785b31d87d514a320cbc2d97258d2ede87142601dec09bfe3ad01848be274130742f9a33
media.sd.gov/ramgen/lightning/htdocs/ful/media-images/sdfr7028_5190.rm,20110608223430,http://media.sd.gov/ramgen/lightning/htdocs/ful/media-images/sdfr7028_5190.rm,audio/x-pn-realaudio,200,S3E4PBU7TI5I2OF7TP5Q5JVAT4RHXY6I,-,-,-,-,-,-,99,-,-,rm,-,-,-,-,-,-,-,-,930ab6a2dbf1119b7bf32d5ea96b75445bc02248d982722efbd2027ac17f1ab6,52af9ed2c9297737c7719c181548597a046141871ddb26505cbe04c0988106a4c512629a841b526973f50ef656bb2b51d32086820107225f6ebfef5826c4a8ea
media.sd.gov/ramgen/lightning/htdocs/ful/media-images/sdfr7672_5848.rm,20110709102634,http://media.sd.gov/ramgen/lightning/htdocs/ful/media-images/sdfr7672_5848.rm,audio/x-pn-realaudio,200,NE44J4JWIHOUDVLBOEWRRDHH7OD2QODM,-,-,-,-,-,-,99,-,-,rm,-,-,-,-,-,-,-,-,135794e7de39b043b8022519402e53f57a3b08536fb7b1ab59f017f833f1f4eb,092c65efa454732d68e02cd26756acdcf9616b99f661b739c9b6b3b28134e74040bbb8ae84b2292a072581b53203182506d9f34a08a37dad7cb78d8ce58d63c1
noaanews.noaa.gov/audio/hurricanes2005-podcast-hurricanes-11-30-2005.mp3,20060127170702,http://www.noaanews.noaa.gov/audio/hurricanes2005-podcast-hurricanes-11-30-2005.mp3,audio/mpeg,200,PUSBC7X5IA7AYFIS2AGJ3XO7JE2JLFM6,MPEG 3 Layer III Version 1,"Nov. 30, 2005",Podcast-Hernandez,-,Vocal,2005,1832768,MPEG Audio,MPEG Audio,mp3,229080,-,CBR,64000,1,48000,-,-,2aa76661ee71ac1025b290df3ca60529be2a4e66fcaea10911d7a039f7ad8e8d,8970d5389dfb93ed27d039f537a2b2f20287a73a82bce53824ce768cdd27b986f79575ccd79829e4768d19920d75c3b75ee54608c5865a6bf3b0a0f3b04a132a
