urlkey,timestamp,original,mimetype,statuscode,digest,file_size,sha512,sha256
ncei.noaa.gov/data/gsom/access/usr0000anew.csv,20160906023208,https://www.ncei.noaa.gov/data/gsom/access/USR0000ANEW.csv,text/csv,200,UMHPLYEYWOXO3LDRYA3ODSRDQ453WV2X,17981,6096c13c24dc97a9b897de19f98b736da52aa7be024508b832e1e759db0cc5ecaebe2cb1af36703a39ea21c6ce0ea64803c4ed9fc8e75c2398666564f0624177,0245cf3472f25a866efc84a8903ed99db1a46468c9c7207a108d10652a9f38aa
ncei.noaa.gov/data/gsoy/access/asn00025014.csv,20170526170155,https://www.ncei.noaa.gov/data/gsoy/access/ASN00025014.csv,text/csv,200,WMCISB2HTJA2E6X3H7H35UZNTGCLS7CP,8457,d7e79d8856e42b491cf36c0d0c8a4920e002d5c2ff0d853aecb2d0d26f8816d9261db426418e2e4ccc3acb157e3235ba83c717fd34f957280a3ad4a40b0d89c1,d922b774a1adb34eb86c8c94e7208afc5b177e334f342ff241f7457eac63dbe2
ncei.noaa.gov/data/gsoy/access/mxm00076061.csv,20170319050800,https://www.ncei.noaa.gov/data/gsoy/access/MXM00076061.csv,text/csv,200,YA5EAUX2EJYJD7WLEFMOH6I42KCGMOXW,220,0f8809775846974de38e38aefe27697deda8d0b2c9c3ca1e0161c490697bc48da11af5f9f73cd4e62a3733bbff2428478819630e285a2ed3bfc2fc139ccee088,22f105472d1249b457ff1aa59f656acc56f4cdfdb735e629d731339bc9b86843
portal.nersc.gov/project/pdsf/ganglia/graph.php?c=pdsf%20compute&h=pc2120.nersc.gov&r=hour&z=default&jr=&js=&st=1463763360&v=7.24&m=load_fifteen&vl=%20&ti=load_fifteen&csv=1,20160520174809,http://portal.nersc.gov/project/pdsf/ganglia/graph.php?c=PDSF%20Compute&h=pc2120.nersc.gov&r=hour&z=default&jr=&js=&st=1463763360&v=7.24&m=load_fifteen&vl=%20&ti=load_fifteen&csv=1,application/csv,200,DDYRTO7MXTBHV3RWTVA7O5NN3SDLNX6O,5534,8ba55ad6d8f652bed4684c53b6ab9de8ee51cc6d08b698965b4ded93dd387bd36be287816c9a6d3ad2d8fb4010933c2914530478055b6423ecf5ba89e3bbc2e9,b6d3235c1e3f5011b32b18c1a8c17cb570b0b122d35488655317fc6abaea4ef9
rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/commodity_flow_survey/2002/hazardous_materials/csv/table_b_17.csv,20160828214901,http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/commodity_flow_survey/2002/hazardous_materials/csv/table_b_17.csv,text/csv,200,WJCF4JPCO7MJ5OBPGDWTDF32MM2L3RYO,1582,6f7e1df0a6154c76e112b930afe73fdc02980a2445b521e42ad8e2de0e5ea996de37609215db9d540f9443c2587b9c1c29a3bb29047e6974257d91e296db01a6,37bef04da9481259f2a91b88d7c6285d1f3deb2b95ef147c8b75802552b3b90b
rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/commodity_flow_survey/2007/state_summaries/csv/virginia2.csv,20150518080344,http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/commodity_flow_survey/2007/state_summaries/csv/virginia2.csv,text/csv,200,LAFB4GHYEMGLORPPYU7RGLWKTOS2AE32,4995,eac027add0bcb222eb32ac4d0430c7fb0c09d201eb3b02d47c7a082d5a76f5ad4d6f2c16b0c9a85af74aad573fbbe76972006037ba289d8996601bf6e2426618,0c135856d641c948a8546f4e911abbb939eb69936f9a3cad0d599165f150d0ab
rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/estimated_impacts_of_9_11_on_us_travel/csv/table_01.csv,20170718141718,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/estimated_impacts_of_9_11_on_us_travel/csv/table_01.csv,text/csv,200,BPK5RIV2SGRZZYVUBYIPGOA3SVVN6WHA,213,0fd09f08692f9c942b7174a8ce0259675d023c779a97fee7f67188ee0625623254de9b5e6415d9841e05efeacdbc3a30232a3e234a4b6f642fa6bad9fcd5dad5,15a7c898dbdd4da756b70d4aa35e6bf8ccee2240f634e309911813ff831f92f6
rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_statistics/2009/csv/table_03_29a.csv,20150520180303,http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_statistics/2009/csv/table_03_29a.csv,text/csv,200,AG6N3X5FAGKJJCBY2NGNBKQOVYYYUNLZ,3422,ca63fc74cb64e77482e24863cb595eba2f4ee0ca2d4d0599fdfc177e9597742a5e8af9af933c5fb5ad4fc0e0ec41a719c4ca6c775dcaf796b6f1076a90c654cd,4f93818988a6864669bbd5ab19d697614dd797e5971b0200535b707cc1617083
rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/north_american_transportation_in_figures/csv/table_7_3a.csv,20140511011603,http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/north_american_transportation_in_figures/csv/table_7_3a.csv,text/csv,200,NKBHNV3DULUI5Q4LILLH5PPPTXMFIEVD,2596,2306e6814a9bd06ae563c60a2557180ea6b0d2201eb959fc1a6fe0dda19d8d29c6f1fc1fc39f4c92fbce87953edf4f8ef0570c17a9f0d356f744bb732dc54883,cd32c6efe41aad8c8ba53ce2a3ead8556810cd11bd761ac75182c3d436c1de27
vso1.nascom.nasa.gov/docs/ticket/37?format=csv,20090412000649,http://vso1.nascom.nasa.gov/docs/ticket/37?format=csv,text/csv,200,WESPZNNDSCZIWPXVTVPDLDJIQA7R7T7J,496,14c54300ffd0b60bbc6726688c980d76fa4d183768f251da49296897a6d3c1cb771704e58ad61c0c86d880b9016fe055d5aaa590849fd38499702c9fe0d67f82,0174caefbe663f2fb32fb12154e934de3b47967098907dca3ef2b85776852120
